molecule_chembl_id;units;IC50;smiles;pIC50;MW;HBA;HBD;LogP;rule_of_5
CHEMBL251123;nM;140.0;CCOc1cc2ncnc(\C=C\CCCc3ccccc3)c2cc1OCC;6.853871964321763;362.19942807199993;4;0;5.463300000000005;yes
CHEMBL398388;nM;140.0;NC(=O)C1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc6cccc(F)c6)c4)c23)CC1;6.853871964321763;498.22918570400003;8;2;3.707300000000002;yes
CHEMBL3926223;nM;140.0;NS(=O)(=O)c1ccc(Nc2nncc3ccccc23)cc1;6.853871964321763;300.06809662399996;5;2;2.0208;yes
CHEMBL193544;nM;140.0;CN1CCC(CC1)Oc2cccc3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23;6.853871964321763;475.177502752;7;1;5.473800000000005;yes
CHEMBL3622669;nM;141.0;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CNC4CC(F)(F)C4;6.85078088734462;491.13358725200004;6;3;5.056500000000003;yes
CHEMBL4079649;nM;144.0;CCC(=O)N1CC[C@@H](C1)N2C(=O)N(Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc23)c6cccc(Cl)c6;6.84163750790475;588.2728001040001;7;1;4.891320000000004;yes
CHEMBL3297891;nM;145.2;Cc1oc2nc(C)nc(Nc3cccc4ccccc34)c2c1;6.838033383635925;289.1215121;4;1;4.736440000000003;yes
CHEMBL2337373;nM;147.0;Nc1nc(Nc2ccccc2)c3c4ccccc4[nH]c3n1;6.832682665251824;275.11709541600004;4;3;3.4369000000000014;yes
CHEMBL345988;nM;147.0;Nc1nc(Nc2cccc(Br)c2)c3c4ccccc4[nH]c3n1;6.832682665251824;353.02760748400004;4;3;4.199400000000002;yes
CHEMBL3622647;nM;147.4;CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(c3)C#N)ncnc2cc1O[C@H]4CCOC4;6.831502516476967;476.19721688000004;8;2;3.6081800000000017;yes
CHEMBL3930965;nM;148.0;COc1cc2ncnc(Nc3ccc(Cc4ccccn4)cc3)c2cc1NC(=O)\C=C\CN5CCCC5;6.8297382846050425;494.24302420000004;7;2;4.958300000000004;yes
CHEMBL4078026;nM;148.0;CCC(=O)N1CC[C@@H](C1)N2C(=O)N(Cc3cnc(Nc4ccc(N5CCN(CC5)C(=O)C)c(C)c4)nc23)c6cc(OC)ccc6F;6.8297382846050425;630.3078299480001;8;1;4.3023200000000035;yes
CHEMBL3676394;nM;149.0;CC(C)C(COc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1NC(=O)C=C)NC(=O)CN(C)C;6.826813731587727;572.15467914;7;3;4.480700000000002;yes
CHEMBL1271618;nM;149.0;CN(C)C\C=C\C(=O)N1CCc2c(C1)sc3ncnc(N[C@H](CO)Cc4ccccc4)c23;6.826813731587727;451.204196168;7;2;2.7093;yes
CHEMBL2087354;nM;150.0;Cc1ccc(cc1)S(=O)(=O)N2CCOc3cc4ncnc(Nc5cccc(Br)c5)c4cc3OCC2;6.823908740944319;554.062338316;7;1;4.906420000000004;yes
CHEMBL1641990;nM;150.0;CN(C)C\C=C\C(=O)Nc1ccc2c(cnc(Nc3cccc(Br)c3)c2c1)C#N;6.823908740944319;449.08512236000007;5;2;4.668880000000003;yes
CHEMBL258694;nM;150.0;CC(C)c1c(cn2ncnc(Nc3cnc4[nH]ccc4c3)c12)c5oc(C)nn5;6.823908740944319;374.160357196;8;2;3.8310200000000023;yes
CHEMBL461113;nM;150.0;Nc1ncnc(Nc2ccc(OCc3ccccc3)c(Cl)c2)c1C(=O)OCCN4CCOCC4;6.823908740944319;483.1673319919999;9;2;3.5238000000000023;yes
CHEMBL186080;nM;150.0;Cc1cc2c(Nc3ccc(F)c(Cl)c3)ncnn2c1;6.823908740944319;276.05780222;4;1;3.5738200000000013;yes
CHEMBL391387;nM;150.0;NC1CCN(Cc2ccn3ncnc(Nc4ccc(OCc5cccnc5)c(Cl)c4)c23)CC1;6.823908740944319;463.188736132;8;2;4.023400000000002;yes
CHEMBL3416612;nM;150.0;C[C@@H](Nc1ncnc2sc(Br)cc12)c3ccc(F)cc3;6.823908740944319;350.984108672;4;1;4.766000000000002;yes
CHEMBL57347;nM;150.0;CN1CCN(CCCNc2ncc3cc(c(NC(=O)NC(C)(C)C)nc3n2)c4c(Cl)cccc4Cl)CC1;6.823908740944319;544.223263068;7;3;4.968000000000003;yes
CHEMBL157128;nM;150.0;COCC1CCCN1CC#CC(=O)Nc2ccc3ncc(C#N)c(Nc4cccc(Br)c4)c3c2;6.823908740944319;517.111337108;6;2;4.665280000000004;yes
CHEMBL190567;nM;150.0;COCC(=O)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1;6.823908740944319;434.02397372;5;2;3.5629000000000017;yes
CHEMBL1951415;nM;150.0;Nc1nccc(n1)c2c(ncn2C3CCCCC3)c4ccc(F)cc4;6.823908740944319;337.17027385999995;5;1;4.233600000000004;yes
CHEMBL321193;nM;150.0;CN1C(=O)C(=Cc2cnc(Nc3cccc(O)c3)nc12)c4c(Cl)cccc4Cl;6.823908740944319;412.049381048;6;2;4.751500000000003;yes
CHEMBL380386;nM;150.0;COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN[C@H](C)C(=O)N;6.823908740944319;403.12113074800004;6;3;3.137900000000001;yes
CHEMBL251497;nM;151.5;CC(C)(O)C#Cc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1;6.819587367161676;355.088768;4;2;4.288300000000002;yes
CHEMBL447230;nM;152.0;COc1cc2ncnc(N(C)c3cccc(Br)c3)c2cc1OC;6.818156412055227;373.04258885199994;5;0;4.177400000000003;yes
CHEMBL3416437;nM;153.0;COc1ccccc1c2cc3c(N[C@H](C)c4ccccn4)ncnc3s2;6.815308569182402;362.12013219600004;6;1;4.935000000000003;yes
CHEMBL4081252;nM;153.0;CCC(=O)N1CC[C@@H](C1)N2C(=O)N(Cc3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc23)c6ccc(OC)cc6;6.815308569182402;584.3223371400001;8;1;4.246520000000004;yes
CHEMBL3800597;nM;153.7;CCC(=O)N1CCN(CC1)c2ccc(Nc3ncc(SC)c(Oc4cccc(NC(=O)C=C)c4)n3)c(OC)c2;6.813326132500254;548.220574504;9;2;4.9261000000000035;yes
CHEMBL3671551;nM;154.0;CC(COc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1NC(=O)C=C)NC(=O)C;6.8124792791635365;501.081179852;6;3;4.302900000000003;yes
CHEMBL3416602;nM;156.0;CC(Nc1ncnc2sc(Br)cc12)c3ccccc3;6.806875401645538;332.99353048399996;4;1;4.626900000000003;yes
CHEMBL137082;nM;156.0;Brc1cccc(Nc2ncnc3cnc(cc23)N(CCCN4CCOCC4)C(=O)C=C)c1;6.806875401645538;496.12223614000004;7;1;3.7722000000000024;yes
CHEMBL379047;nM;156.0;CN(CCCl)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1;6.806875401645538;433.030499944;4;2;4.838400000000003;yes
CHEMBL3671540;nM;156.0;CN(C)CC(=O)NCCOc1cc2ncnc(Nc3ccc(F)cc3F)c2cc1NC(=O)C=C;6.806875401645538;470.187795068;7;3;2.8327;yes
CHEMBL3921655;nM;156.3;CC#CC(=O)N[C@@H]1CC[C@@H](CC1)n2nc(c3ccc(Oc4ccccc4)cc3)c5c(N)ncnc25;6.806041021980812;466.21172407200004;7;2;4.491000000000003;yes
CHEMBL540082;nM;158.0;Cl.[O-][N+](=O)c1cccc2c3ncnc(Nc4cccc(Br)c4)c3sc12;6.801342913045577;435.93963634000005;6;1;5.680600000000002;yes
CHEMBL1241484;nM;158.0;CC(C)n1nc(c2ccc(Cl)c(O)c2)c3c(N)ncnc13;6.801342913045577;303.088687748;6;2;3.0154000000000005;yes
CHEMBL2424664;nM;158.0;COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCN4CC5(C4)CS(=O)(=O)C5;6.801342913045577;492.10343208399996;8;1;3.2837000000000014;yes
CHEMBL3671535;nM;158.0;COC(=O)NCCOc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1NC(=O)C=C;6.801342913045577;503.060444408;7;3;4.134300000000002;yes
CHEMBL96489;nM;159.0;CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cc1N;6.798602875679549;357.05890761200004;5;2;3.7841000000000014;yes
CHEMBL3806066;nM;159.9;COCCOc1cc2ncnc(Nc3cccc(OC)c3)c2c4OCCOc14;6.796151536253765;383.14812077199997;8;1;3.1784000000000017;yes
CHEMBL2325106;nM;160.0;COc1ccc(cc1)C2=NN(C(C2)c3cccc4ccccc34)C(=S)N;6.795880017344076;361.12488322800004;3;1;4.243100000000003;yes
CHEMBL337027;nM;160.0;CO[C@H]1[C@H](C[C@@H]2O[C@@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35)N(C)C(=O)CCC(=O)O;6.795880017344076;566.2165346800001;7;2;4.457800000000002;yes
CHEMBL3612596;nM;160.0;CCOC(=O)CCCN1C(=O)Oc2cc3ncnc(Nc4ccc(OC(C)C)cc4)c3cc12;6.795880017344076;450.19031993199997;9;1;4.411800000000004;yes
CHEMBL121190;nM;160.0;Nc1[nH]cnc2nnc(Nc3cccc(Cl)c3)c12;6.795880017344076;260.057721968;5;3;2.2837000000000005;yes
CHEMBL1817964;nM;160.0;COC1=C(C)C(=O)C(=C(O1)\C=C\C(C)C\C=C\C(=C\C(C)C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)\C(=C\C)\C)\C)C;6.795880017344076;562.3141830519999;9;4;3.594540000000002;yes
CHEMBL245867;nM;160.0;NCCCCOCc1ccn2ncnc(Nc3ccc4c(cnn4Cc5cccc(F)c5)c3)c12;6.795880017344076;459.21828667200003;8;2;4.265500000000003;yes
CHEMBL3403509;nM;162.3;COc1ccc(N(C)c2nc(C)nc3oc(C)cc23)c(OC)c1;6.789681480173768;313.142641468;6;0;3.6247400000000027;yes
CHEMBL3774578;nM;162.7;Cc1ccc(Nc2ncnc3cc4OCC(=O)N(CCCN5CCOCC5)c4cc23)cc1Cl;6.788612447063142;467.172417372;7;1;3.7829200000000025;yes
CHEMBL3922922;nM;164.0;CCOc1cc2ncnc(Nc3ccc(OCc4ccccn4)cc3)c2cc1NC(=O)\C=C\CN5CCN(C)CC5;6.785156151952302;553.28013798;9;2;4.488200000000003;yes
CHEMBL3092309;nM;165.0;Fc1ccc(Nc2ncnc3cc(O[C@H]4CCOC4)c(NC(=O)NCCN5CCCCC5)cc23)cc1Cl;6.782516055786092;528.20519472;7;3;4.941000000000003;yes
CHEMBL3754301;nM;165.6;Cn1cnc(c1)c2cc(NC(=O)Nc3ccncc3)cc(c2)C(F)(F)F;6.780939667551138;361.115044728;4;2;4.144900000000002;yes
CHEMBL3218347;nM;166.0;CCC(=O)Nc1cccc(Nc2cc(Nc3cccc(Br)c3)ncn2)c1;6.779891911959945;411.069472296;5;3;5.074800000000002;yes
CHEMBL243628;nM;166.7;CCOc1cc2ncnc(NC3=CC(=O)C(=CC3=O)OCc4ccc(F)c(F)c4)c2cc1NC(=O)\C=C\CN(C)C;6.778064400171995;563.198025404;9;2;3.9113000000000024;yes
CHEMBL4098409;nM;167.1;Cl.COc1ccc2N(CCc2c1)c3nc(C)nc4c(Cc5ccccc5)c[nH]c34;6.777023550106609;406.15603903600004;4;1;4.981720000000005;yes
CHEMBL3622628;nM;167.3;Fc1ccc(Nc2ncnc3cc(O[C@H]4CCOC4)c(NC(=O)C=C)cc23)cc1C#N;6.776504059037607;419.139367656;7;2;3.6763800000000018;yes
CHEMBL93173;nM;170.0;COc1cc2ncnc(NCc3cccc(C)c3)c2cc1OC;6.769551078621726;309.147726848;5;1;3.5675200000000027;yes
CHEMBL73406;nM;170.0;Cc1[nH]c2ncnc(Nc3cc(Cl)cc(Cl)c3)c2c1C;6.769551078621726;306.043901744;3;2;4.625140000000002;yes
CHEMBL3416622;nM;170.0;COc1ccccc1c2cc3c(NCc4cccs4)ncnc3s2;6.769551078621726;353.0656541;6;1;5.040500000000002;yes
CHEMBL263528;nM;170.0;NC(=O)CN1CCC(CC1)n2cc(c3cccc(O)c3)c4c(N)ncnc24;6.769551078621726;366.18042394400004;7;3;1.5082999999999995;yes
CHEMBL1241481;nM;170.0;COc1cc(ccc1NC(=O)OC(C)(C)C)c2nn(C(C)C)c3ncnc(N)c23;6.769551078621726;398.20663869200007;8;2;4.012000000000002;yes
