,ChEMBL_ID,smiles,pIC50
52,CHEMBL2031307,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN(C)C,9.167491087293763
53,CHEMBL289213,CN(CC(=O)O)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,9.142667503568733
54,CHEMBL3814882,Brc1cccc(Nc2ncnc3ccc(NC(=O)NCCN4CCCCC4)cc23)c1,9.112382699664265
55,CHEMBL162142,Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)cc23)c1,9.10790539730952
56,CHEMBL36727,Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,9.096910013008056
57,CHEMBL3814959,NC(=O)Nc1ccc2ncnc(Nc3ccc(Br)cc3)c2c1,9.095284454721321
58,CHEMBL3814211,NC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,9.068542129310996
59,CHEMBL3759369,C[C@@H](Nc1ncnc2sc(cc12)c3cccc(c3)C(=O)NCCN(C)C)c4ccccc4,9.045757490560677
60,CHEMBL3759199,COc1cccc(OC)c1c2cc3c(N[C@H](CO)c4ccccc4)ncnc3s2,9.045757490560677
61,CHEMBL338114,Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,9.040958607678906
62,CHEMBL126372,OCC(O)CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.036212172654443
63,CHEMBL165630,OCCN(CCO)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.031517051446064
64,CHEMBL328106,COc1cc2ncnc(Nc3ccc(Br)cc3)c2cc1OC,9.017728766960431
65,CHEMBL415738,Cc1cccc(Nc2cc(NCCO)ncn2)c1,9.0
66,CHEMBL3416592,COc1ccccc1c2cc3c(N[C@H](CO)c4ccccc4)ncnc3s2,9.0
67,CHEMBL3678946,CC(C)n1c(Nc2ccccc2)nc3cnc(Nc4ccc(cc4)C(=O)NC5CCN(C)CC5)nc13,9.0
68,CHEMBL310853,N(c1ccc2[nH]ccc2c1)c3ccnc4cc(sc34)c5cccs5,9.0
69,CHEMBL431977,NC(=O)C1CCN(Cc2ccc(cc2)c3cc4nccc(Nc5ccc6[nH]ccc6c5)c4s3)CC1,9.0
70,CHEMBL79215,C(CN(c1cc2ncnc(Nc3ccc4[nH]ccc4c3)c2s1)n5cccc5)Nc6ccccc6,9.0
71,CHEMBL76751,N(c1ccc2[nH]ccc2c1)c3ncnc4cc(sc34)c5cccs5,9.0
72,CHEMBL271705,Clc1cc(Nc2ncnc3[nH]nc(OCCN4CCOCC4)c23)ccc1OCc5ccccn5,9.0
73,CHEMBL3674150,CC(C)n1c(Nc2ccccc2)nc3cnc(Nc4ccc(cc4F)C(=O)NN5CCN(C)CC5)nc13,9.0
74,CHEMBL308498,CC(C)(CO)NCc1ccc(cc1)c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2,9.0
75,CHEMBL312753,OCc1ccc(cc1)c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2,9.0
76,CHEMBL30432,CN(C)c1cc2c(Nc3ccc4c(cnn4Cc5ccccc5)c3)ncnc2cn1,9.0
77,CHEMBL213007,COc1cc2ncnc(Nc3cc(Cl)ccc3F)c2cc1OC4CCN(CC4)S(=O)(=O)C,9.0
78,CHEMBL121954,Oc1cccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,9.0
79,CHEMBL2031296,CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.995678626217357
80,CHEMBL3818547,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)[C@@H]4COC(=O)N4,8.97469413473523
81,CHEMBL3814956,Fc1ccc(Nc2ncnc3ccc(NC(=O)NCCN4CCCCC4)cc23)cc1Cl,8.97469413473523
82,CHEMBL4099329,COc1ccc(cc1)N(C)c2nc(N)nc3c(Cc4ccccc4)c[nH]c23,8.958607314841776
83,CHEMBL358934,CCO.CNc1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1,8.958607314841776
84,CHEMBL3960853,C[C@@H](Nc1ncnc2oc(cc12)c3ccc(NCCN4CCOCC4)cc3)c5ccccc5,8.958607314841776
85,CHEMBL165788,CNc1cc2c(Nc3cccc(c3)C(F)(F)F)ncnc2cn1,8.958607314841776
86,CHEMBL162034,CN(C)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.958607314841776
87,CHEMBL3663934,CCC(=O)N1CC[C@H](C1)Oc2nc(Nc3ccc(cc3)N4CCN(C)CC4)c(nc2CC)C(=O)N,8.920818753952375
88,CHEMBL153206,COc1ccc2[nH]c3ncnc(Nc4cccc(Br)c4)c3c2c1,8.920818753952375
89,CHEMBL162223,Brc1cccc(Nc2ncnc3cnc(NCCc4ccccn4)cc23)c1,8.920818753952375
